book_name,writer_name,type,category,mood,cover_url
বহুব্রীহি,হুমায়ূন আহমেদ,Book,Bengali,Fun,"https://m.media-amazon.com/images/I/21evlerL8OL._AC_UF1000,1000_QL80_.jpg"
আজ রবিবার,হুমায়ূন আহমেদ,Book,Bengali,Fun,https://upload.wikimedia.org/wikipedia/bn/7/7f/%E0%A6%86%E0%A6%9C_%E0%A6%B0%E0%A6%AC%E0%A6%BF%E0%A6%AC%E0%A6%BE%E0%A6%B0_%E0%A6%A7%E0%A6%BE%E0%A6%B0%E0%A6%BE%E0%A6%AC%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%95%E0%A7%87%E0%A6%B0_%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A6%A6.jpg
মিস্টার কচু ভূত,সৈয়দা আমেনা জোহরা,Book,Bengali,Fun,https://rokbucket.rokomari.io/ProductNew20190903/260X372/Mister_Kochu_Voot-Syeda_Amena_Johra-ca694-276025.jpg
প্যারা নাই,মাসফিক এনাম তূর্য,Book,Bengali,Fun,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1740055823i/228196284.jpg
ফার্স্ট টাইম সেকেন্ড ম্যারেজ,জামসেদুর রহমান সজীব,Book,Bengali,Fun,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1643615555i/60256703.jpg
Right Ho Jeeves,P. G. Wodehouse,Book,English,Fun,"https://m.media-amazon.com/images/I/51lo9A0dg1L._AC_UF894,1000_QL80_.jpg"
The Secret Diary of Adrian Mole,Sue Townsend,Book,English,Fun,https://upload.wikimedia.org/wikipedia/en/0/0b/TheSecretDiaryOfAdrianMole.jpg
Red Carpets and Other Banana Skins,Rupert Everett,Book,English,Fun,"https://m.media-amazon.com/images/I/71QwPypeTfL._AC_UF894,1000_QL80_.jpg"
Miss Pettigrew Lives for a Day,Winifred Watson,Book,English,Fun,https://m.media-amazon.com/images/I/71RdKVvOUuL.jpg
Cold Comfort Farm,Stella Gibbons,Book,English,Fun,"https://images-fe.ssl-images-amazon.com/images/I/91Ul7OG6ldL._AC_UL210_SR210,210_.jpg"
The Easy Life in Kamusari,Shion Miura,Book,Japanese,Fun,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/The_Easy_Life_in_Kamusari.jpg/250px-The_Easy_Life_in_Kamusari.jpg
Kitchen,Banana Yoshimoto,Book,Japanese,Fun,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1519082198i/36053646.jpg
Lonely Castle in the Mirror,Mizuki Tsujimura,Book,Japanese,Fun,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1596014992i/54633167.jpg
Where the Wild Ladies Are,Aoko Matsuda,Book,Japanese,Fun,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586814262l/51168664.jpg
Goodbye Things,Fumio Sasaki,Book,Japanese,Fun,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1492264720i/33950904.jpg
No Presents Please: Mumbai Stories,Jayant Kaikini,Book,Indian,Fun,"https://m.media-amazon.com/images/I/616+vZE9akL._AC_UF1000,1000_QL80_.jpg"
English August,Upamanyu Chatterjee,Book,Indian,Fun,"https://m.media-amazon.com/images/I/71BTO5tnb3L._AC_UF350,350_QL50_.jpg"
Elephants and Other Stories,Raymond Carver,Book,Indian,Fun,"https://m.media-amazon.com/images/I/51oO4HOlcZL._AC_UF1000,1000_QL80_.jpg"
The Room on the Roof,Ruskin Bond,Book,Indian,Fun,https://upload.wikimedia.org/wikipedia/en/5/5c/The_Room_on_the_Roof.JPG
The Sly Company of People Who Care,Rahul Bhattacharya,Book,Indian,Fun,"https://images-eu.ssl-images-amazon.com/images/I/81FMfERXbtL._AC_UL600_SR600,600_.jpg"
আদর্শ হিন্দু হোটেল,বিভূতিভূষণ বন্দ্যোপাধ্যায়,Book,Bengali,Calm,"https://m.media-amazon.com/images/I/41qMxc7PyWL.jpg_BO30,255,255,255_UF750,750_SR1910,1000,0,C_QL100_.jpg"
পথের পাঁচালী,বিভূতিভূষণ বন্দ্যোপাধ্যায়,Book,Bengali,Calm,"https://m.media-amazon.com/images/I/61EIoJ5PeJL._AC_UF1000,1000_QL80_.jpg"
আরণ্যক,বিভূতিভূষণ বন্দ্যোপাধ্যায়,Book,Bengali,Calm,"https://m.media-amazon.com/images/I/41HrPYBfx6L._AC_UF1000,1000_QL80_.jpg"
দূরবীন,শীর্ষেন্দু মুখোপাধ্যায়,Book,Bengali,Calm,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1524037406i/14623558.jpg
আগুনপাখি,হাসান আজিজুল হক,Book,Bengali,Calm,"https://m.media-amazon.com/images/I/51lGpp4nzkL._AC_UF1000,1000_QL80_.jpg"
The Consolations of the Forest,Sylvain Tesson,Book,English,Calm,"https://m.media-amazon.com/images/I/91-3YgRKVPL._UF1000,1000_QL80_.jpg"
Invisible Cities,Italo Calvino,Book,English,Calm,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1763827551i/9809.jpg
The Little Prince,Antoine de Saint-Exupéry,Book,English,Calm,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993.jpg
The Old Man and the Sea,Ernest Hemingway,Book,English,Calm,"https://m.media-amazon.com/images/I/91D4ibDarLL._AC_UF350,350_QL50_.jpg"
Pride and Prejudice,Jane Austen,Book,English,Calm,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1681804503i/129915654.jpg
Days at the Morisaki Bookshop,Satoshi Yagisawa,Book,Japanese,Calm,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1671208761l/62047992.jpg
The Traveling Cat Chronicles,Hiro Arikawa,Book,Japanese,Calm,"https://m.media-amazon.com/images/I/712BZ6vm4KL._AC_UF894,1000_QL80_.jpg"
Goodbye Tsugumi,Banana Yoshimoto,Book,Japanese,Calm,"https://m.media-amazon.com/images/I/71GM88nuCkL._UF1000,1000_QL80_.jpg"
Before the Coffee Gets Cold,Toshikazu Kawaguchi,Book,Japanese,Calm,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1704153539i/44421460.jpg
The Lido,Libby Page,Book,Japanese,Calm,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1515132415i/34709995.jpg
The Village by the Sea,Anita Desai,Book,Indian,Calm,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1387708466i/275600.jpg
The Blue Bedspread,Raj Kamal Jha,Book,Indian,Calm,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1347437322i/101933.jpg
A River Sutra,Gita Mehta,Book,Indian,Calm,"https://m.media-amazon.com/images/I/81+w8MbYYZL._UF1000,1000_QL80_.jpg"
Sea of Poppies,Amitav Ghosh,Book,Indian,Calm,"https://m.media-amazon.com/images/I/91n0NM66mkL._AC_UF1000,1000_QL80_.jpg"
Malgudi Days,R. K. Narayan,Book,Indian,Calm,"https://m.media-amazon.com/images/I/71ElZHu1QpL.jpg_BO30,255,255,255_UF750,750_SR1910,1000,0,C_QL100_.jpg"
মিসির আলি সমগ্র,হুমায়ূন আহমেদ,Book,Bengali,Dark-Gritty,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1482605082i/33558675.jpg
রবীন্দ্রনাথ এখানে কখনও খেতে আসে নি,মোহাম্মদ নাজিম উদ্দিন,Book,Bengali,Dark-Gritty,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1518282101i/24747127.jpg
পেন্ডুলাম,মোহাম্মদ নাজিম উদ্দিন,Book,Bengali,Dark-Gritty,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1481784082i/33390337.jpg
সজারুর কাটা,শরদিন্দু বন্দ্যোপাধ্যায়,Book,Bengali,Dark-Gritty,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1590742285i/20746357.jpg
১৯৫২:নিছক কোনো সংখ্যা নয়,মোহাম্মদ নাজিম উদ্দিন,Book,Bengali,Dark-Gritty,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1392639408i/20826911.jpg
Gone Girl,Gillian Flynn,Book,English,Dark-Gritty,"https://m.media-amazon.com/images/I/61Sx28fdUoL._AC_UF1000,1000_QL80_.jpg"
The Silent Patient,Alex Michaelides,Book,English,Dark-Gritty,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1668782119i/40097951.jpg
The Girl on the Train,Paula Hawkins,Book,English,Dark-Gritty,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1462036899i/23347055.jpg
Behind Closed Doors,B.A. Paris,Book,English,Dark-Gritty,https://m.media-amazon.com/images/I/81-uOUBKrFL.jpg
The Housemaid,Freida McFadden,Book,English,Dark-Gritty,"https://m.media-amazon.com/images/I/91VZotRPO2L._UF350,350_QL80_.jpg"
Out,Natsuo Kirino,Book,Japanese,Dark-Gritty,"https://m.media-amazon.com/images/I/71g6q9IMxFL._AC_UF1000,1000_QL80_.jpg"
Malice,Keigo Higashino,Book,Japanese,Dark-Gritty,"https://m.media-amazon.com/images/I/71wyxC2d7TL._AC_UF1000,1000_QL80_.jpg"
The Aosawa Murders,Riku Onda,Book,Japanese,Dark-Gritty,https://m.media-amazon.com/images/I/81u0blTUjpL.jpg
In the Miso Soup,Ryu Murakami,Book,Japanese,Dark-Gritty,https://m.media-amazon.com/images/I/7135x+DzlYL.jpg
Annihilation,Jeff VanderMeer,Book,Japanese,Dark-Gritty,https://upload.wikimedia.org/wikipedia/en/e/e5/Annihilation_by_jeff_vandermeer.jpg
Killing Ashish Karve,Salil Desai,Book,Indian,Dark-Gritty,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1709807231i/209590320.jpg
The Swastika Killer,Mahendra Jakhar,Book,Indian,Dark-Gritty,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1489298358i/34535530.jpg
No Present Please,Jayant Kaikini,Book,Indian,Dark-Gritty,"https://m.media-amazon.com/images/I/616+vZE9akL._AC_UF350,350_QL50_.jpg"
The Blue Bar,Damyanti Biswas,Book,Indian,Dark-Gritty,"https://m.media-amazon.com/images/I/81QtEVnCg5L._UF1000,1000_QL80_.jpg"
Maya’s New Husband,Neil Di Silva,Book,Indian,Dark-Gritty,"https://m.media-amazon.com/images/I/81Ox0wYDY4L._AC_UF1000,1000_QL80_.jpg"
অপেক্ষা,হুমায়ূন আহমেদ,Book,Bengali,Lonely,"https://m.media-amazon.com/images/I/51Ilvbe4zML._UF1000,1000_QL80_.jpg"
ছদ্মবেশ,সাদাত হোসাইন,Book,Bengali,Lonely,"https://m.media-amazon.com/images/I/71EJkdtcZ5L._AC_UF1000,1000_QL80_.jpg"
খোয়াবনামা,আখতারুজ্জামান ইলিয়াস,Book,Bengali,Lonely,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1369990809i/13610630.jpg
সে রাতে পূর্ণিমা ছিল,শহীদুল জহির,Book,Bengali,Lonely,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1695189178i/18041293.jpg
The Lonely City,Olivia Laing,Book,English,Lonely,https://m.media-amazon.com/images/I/81n44B-Fb2L.jpg
Eleanor Oliphant Is Completely Fine,Gail Honeyman,Book,English,Lonely,"https://m.media-amazon.com/images/I/81W2p9omFXL._AC_UF1000,1000_QL80_.jpg"
Let’s Talk About Loneliness,Simone Heng,Book,English,Lonely,"https://m.media-amazon.com/images/I/71wuIlfJASL.jpg_BO30,255,255,255_UF750,750_SR1910,1000,0,C_QL100_.jpg"
A Man Called Ove,Fredrik Backman,Book,English,Lonely,https://m.media-amazon.com/images/I/81g2oEdeGTL.jpg
Suttree,Cormac McCarthy,Book,English,Lonely,"https://m.media-amazon.com/images/I/81uGHZgCajL._AC_UF1000,1000_QL80_.jpg"
Strange Weather in Tokyo,Hiromi Kawakami,Book,Japanese,Lonely,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1375634096i/18283207.jpg
The Kamogawa Food Detectives,Hisashi Kashiwai,Book,Japanese,Lonely,"https://m.media-amazon.com/images/I/91T9b0x+czL.jpg_BO30,255,255,255_UF750,750_SR1910,1000,0,C_QL100_.jpg"
Sweet Bean Paste,Durian Sukegawa,Book,Japanese,Lonely,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1497873190i/33376821.jpg
Kafka on the Shore,Haruki Murakami,Book,Japanese,Lonely,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1754436219i/239775146.jpg
No Longer Human,Osamu Dazai,Book,Japanese,Lonely,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1422638843i/194746.jpg
The House With a Thousand Stories,Aruni Kashyap,Book,Indian,Lonely,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1373349696i/18171427.jpg
Parineeta,Sarat Chandra Chattopadhyay,Book,Indian,Lonely,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1560833781l/49470376.jpg
Tamas,Bhisham Sahni,Book,Indian,Lonely,"https://m.media-amazon.com/images/I/61vtIOxCkQL._AC_UF1000,1000_QL80_.jpg"
The First Promise,Ashapurna Devi,Book,Indian,Lonely,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1337236323i/13790096.jpg
The Hungry Tide,Amitav Ghosh,Book,Indian,Lonely,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1433646536i/4950.jpg
শেষ বিকেলের মেয়ে,জহির রায়হান,Book,Bengali,Sad,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1344792944i/15824413.jpg
জননী,মানিক বন্দ্যোপাধ্যায়,Book,Bengali,Sad,https://m.media-amazon.com/images/I/518B1jBYjXL.jpg
মেঘডুবি,কিঙ্কর আহ্‌সান,Book,Bengali,Sad,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1584110517i/52347210.jpg
বিবিয়ানা,কিঙ্কর আহ্‌সান,Book,Bengali,Sad,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1549567193i/43884879.jpg
Anne of Green Gables,Lucy Maud Montgomery,Book,English,Sad,"https://m.media-amazon.com/images/I/71UhmaCbvGL._AC_UF1000,1000_QL80_.jpg"
The Hitchhiker’s Guide to the Galaxy,Douglas Adams,Book,English,Sad,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1404613595i/13.jpg
Don’t Panic,Reid Wilson,Book,English,Sad,https://m.media-amazon.com/images/I/6193Kp2WQLL.jpg
Me Talk Pretty One Day,David Sedaris,Book,English,Sad,"https://m.media-amazon.com/images/I/81G16s-lqnL._AC_UF894,1000_QL80_.jpg"
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,Book,English,Sad,https://upload.wikimedia.org/wikipedia/en/b/b8/TheNo1LadiesDetectiveAgency.jpg
Devotion of Suspect X,Keigo Higashino,Book,Japanese,Sad,"https://m.media-amazon.com/images/I/61fbcwjerXL._AC_UF1000,1000_QL80_.jpg"
The Life of a Stupid Man,Ryūnosuke Akutagawa,Book,Japanese,Sad,"https://m.media-amazon.com/images/I/61fulzaTcmL._AC_UF1000,1000_QL80_.jpg"
Dance Dance Dance,Haruki Murakami,Book,Japanese,Sad,"https://m.media-amazon.com/images/I/71JuK5J+WzL._AC_UF894,1000_QL80_.jpg"
All the Lovers in the Night,Mieko Kawakami,Book,Japanese,Sad,https://m.media-amazon.com/images/I/81GrwM1srvL.jpg
Kokoro,Natsume Sōseki,Book,Japanese,Sad,"https://m.media-amazon.com/images/I/71dNMmPj4hL._AC_UF1000,1000_QL80_.jpg"
The God of Small Things,Arundhati Roy,Book,Indian,Sad,https://m.media-amazon.com/images/I/818eE0nq4rL._SY342_.jpg
Untouchable,Mulk Raj Anand,Book,Indian,Sad,"https://m.media-amazon.com/images/I/81JygKzICjL._AC_UF1000,1000_QL80_.jpg"
The Inheritance of Loss,Kiran Desai,Book,Indian,Sad,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327909065i/95186.jpg
Clear Light of Day,Anita Desai,Book,Indian,Sad,"https://m.media-amazon.com/images/I/91Nz-glbUWL._AC_UF1000,1000_QL80_.jpg"
I Have Never Been (Un)happier,Shaheen Bhatt,Book,Indian,Sad,"https://m.media-amazon.com/images/I/61KWj09EZrL._AC_UF1000,1000_QL80_.jpg"
ভাল্লাগে না,আয়মান সাদিক এবং অন্তিক মাহমুদ,Book,Bengali,Empowered,"https://m.media-amazon.com/images/I/61XCKrW7dXL._UF1000,1000_QL80_.jpg"
স্টুডেন্ট হ্যাকস,আয়মান সাদিক এবং সাদমান সাদিক,Book,Bengali,Empowered,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1552402625i/44415809.jpg
প্যারাময় লাইফের প্যারাসিটামল,ঝংকার মাহবুব,Book,Bengali,Empowered,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1550474511i/44047186.jpg
ভাইরে/আপুরে,শাব্বির আহসান,Book,Bengali,Empowered,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1550723834i/44078734.jpg
Atomic Habits,James Clear,Book,English,Empowered,https://m.media-amazon.com/images/I/81kg51XRc1L._SY342_.jpg
The Alchemist,Paulo Coelho,Book,English,Empowered,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1483412266i/865.jpg
Who Moved My Cheese,Dr. Spencer Johnson,Book,English,Empowered,"https://images-na.ssl-images-amazon.com/images/I/81a8UkTEW9L._AC_UL600_SR600,600_.jpg"
How to Win Friends and Influence People,Dale Carnegie,Book,English,Empowered,https://m.media-amazon.com/images/I/41OksZQYt+L._SY445_SX342_FMwebp_.jpg
Think and Grow Rich,Napoleon Hill,Book,English,Empowered,"https://m.media-amazon.com/images/I/61XskwaajEL._AC_UF1000,1000_QL80_.jpg"
The Courage to Be Disliked,Ichiro Kishimi and Fumitake Koga,Book,Japanese,Empowered,"https://m.media-amazon.com/images/I/91CXP5sgmeL._UF894,1000_QL80_.jpg"
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García and Francesc Miralles,Book,Japanese,Empowered,"https://m.media-amazon.com/images/I/71lJBs5MNlL.jpg_BO30,255,255,255_UF750,750_SR1910,1000,0,C_QL100_.jpg"
Awakening Your Ikigai,Ken Mogi,Book,Japanese,Empowered,"https://m.media-amazon.com/images/I/81HeA8KLDpL._AC_UF1000,1000_QL80_.jpg"
The Things You Can See Only When You Slow Down,Haemin Sunim,Book,Japanese,Empowered,https://m.media-amazon.com/images/I/91Dmm+wEx4L._SY342_.jpg
Wings of Fire,Dr. A.P.J. Abdul Kalam and Arun Tiwari,Book,Indian,Empowered,"https://m.media-amazon.com/images/I/81qVgz6TBQL._AC_UF1000,1000_QL80_.jpg"
You Can Win,Shiv Khera,Book,Indian,Empowered,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1347228056i/714711.jpg
Life’s Amazing Secrets,Gaur Gopal Das,Book,Indian,Empowered,"https://m.media-amazon.com/images/I/61HxUFGRHbL._UF894,1000_QL80_.jpg"
I Have a Dream,Dr. Martin Luther King Jr.,Book,Indian,Empowered,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1355542306i/16029151.jpg
The Brave: Param Vir Chakra Stories,Rachna Bisht Rawat,Book,Indian,Empowered,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1431783348i/23498933.jpg
কুটু মিয়া,হুমায়ূন আহমেদ,Book,Bengali,Thrilling,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1360758252i/17371414.jpg
পিশাচিনী,মুহম্মদ জাফর ইকবাল,Book,Bengali,Thrilling,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1224697586i/4786005.jpg
তারানাথ তান্ত্রিক,বিভূতিভূষণ বন্দ্যোপাধ্যায়,Book,Bengali,Thrilling,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1477578001i/32794197.jpg
অলাতচক্র,আহমদ ছফা,Book,Bengali,Thrilling,https://upload.wikimedia.org/wikipedia/bn/1/15/%E0%A6%85%E0%A6%B2%E0%A6%BE%E0%A6%A4%E0%A6%9A%E0%A6%95%E0%A7%8D%E0%A6%B0_%E0%A6%AC%E0%A6%87%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%B0_%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A6%A6.jpg
নিশিকন্যা,মুহম্মদ জাফর ইকবাল,Book,Bengali,Thrilling,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1289978888i/8996830.jpg
The Haunting of the Hill House,Shirley Jackson,Book,English,Thrilling,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327871336i/89717.jpg
The Shining,Stephen King,Book,English,Thrilling,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1353277730i/11588.jpg
